team,elo_after,season,date,elo_before
Miami,1476.9576600070961,1998,1998-03-14,NA
DC United,1523.0423399929039,1998,1998-03-14,NA
DC United,1530.9617903297876,1998,1998-03-20,1523.0423399929039
FC Dallas,1508.6384400047307,1998,1998-03-20,NA
Los Angeles Galaxy,1508.6384400047307,1998,1998-03-20,NA
Miami,1455.0345755883857,1998,1998-03-20,1476.9576600070961
Mutiny,1484.6384400047307,1998,1998-03-20,NA
Sporting Kansas City,1492.0805496631162,1998,1998-03-20,NA
Colorado Rapids,1491.3615599952693,1998,1998-03-20,NA
Houston Dynamo,1491.3615599952693,1998,1998-03-20,NA
Chicago Fire,1521.9230844187105,1998,1998-03-20,NA
Columbus Crew,1515.3615599952693,1998,1998-03-20,NA
Mutiny,1468.3587708707114,1998,1998-03-25,1484.6384400047307
Miami,1471.314244722405,1998,1998-03-25,1455.0345755883857
Houston Dynamo,1476,1998,1998-03-27,1491.3615599952693
Los Angeles Galaxy,1517.00388972759,1998,1998-03-27,1508.6384400047307
Colorado Rapids,1506.7231199905386,1998,1998-03-27,1491.3615599952693
New York Red Bulls,1491.6345502771408,1998,1998-03-27,NA
DC United,1538.6412427034027,1998,1998-03-28,1530.9617903297876
FC Dallas,1517.49200558801,1998,1998-03-28,1508.6384400047307
New England Revolution,1492.320547626385,1998,1998-03-28,NA
Columbus Crew,1506.50799441199,1998,1998-03-28,1515.3615599952693
Chicago Fire,1532.4477638011422,1998,1998-04-03,1521.9230844187105
Colorado Rapids,1491.6914186514764,1998,1998-04-03,1506.7231199905386
Columbus Crew,1516.1933249259455,1998,1998-04-03,1506.50799441199
Miami,1480.6319595207644,1998,1998-04-03,1471.314244722405
Sporting Kansas City,1505.0169241516226,1998,1998-04-03,1492.0805496631162
Mutiny,1457.8340914882797,1998,1998-04-03,1468.3587708707114
Los Angeles Galaxy,1532.0355910666522,1998,1998-04-03,1517.00388972759
DC United,1528.9559121894472,1998,1998-04-03,1538.6412427034027
New England Revolution,1483.0028328280255,1998,1998-04-03,1492.320547626385
New York Red Bulls,1478.6981757886344,1998,1998-04-03,1491.6345502771408
Houston Dynamo,1461.9980934108257,1998,1998-04-04,1476
FC Dallas,1531.4939121771843,1998,1998-04-04,1517.49200558801
Sporting Kansas City,1514.5462987626065,1998,1998-04-07,1505.0169241516226
Chicago Fire,1522.9183891901582,1998,1998-04-07,1532.4477638011422
Columbus Crew,1523.8059346644964,1998,1998-04-10,1516.1933249259455
DC United,1536.4471463649095,1998,1998-04-10,1528.9559121894472
Houston Dynamo,1472.6539919253828,1998,1998-04-10,1461.9980934108257
Miami,1490.3765760373608,1998,1998-04-10,1480.6319595207644
Mutiny,1474.4720636215352,1998,1998-04-10,1457.8340914882797
New York Red Bulls,1465.0961282365543,1998,1998-04-10,1478.6981757886344
New England Revolution,1475.3902230894746,1998,1998-04-10,1483.0028328280255
Colorado Rapids,1484.200184476014,1998,1998-04-10,1491.6914186514764
Chicago Fire,1512.2624906756012,1998,1998-04-10,1522.9183891901582
Sporting Kansas City,1504.8016822460102,1998,1998-04-10,1514.5462987626065
FC Dallas,1514.8559400439287,1998,1998-04-10,1531.4939121771843
Los Angeles Galaxy,1545.6376386187324,1998,1998-04-10,1532.0355910666522
Chicago Fire,1495.4631972002464,1998,1998-04-16,1512.2624906756012
New York Red Bulls,1481.895421711909,1998,1998-04-16,1465.0961282365543
Columbus Crew,1538.0661800725225,1998,1998-04-17,1523.8059346644964
FC Dallas,1498.2015030189996,1998,1998-04-17,1514.8559400439287
New England Revolution,1486.0507815521794,1998,1998-04-17,1475.3902230894746
Sporting Kansas City,1490.7777541039673,1998,1998-04-17,1504.8016822460102
Miami,1476.1163306293347,1998,1998-04-17,1490.3765760373608
Houston Dynamo,1489.308428950312,1998,1998-04-17,1472.6539919253828
DC United,1525.7865879022047,1998,1998-04-17,1536.4471463649095
Los Angeles Galaxy,1559.6615667607753,1998,1998-04-17,1545.6376386187324
Colorado Rapids,1498.7799570680272,1998,1998-04-18,1484.200184476014
Mutiny,1459.892291029522,1998,1998-04-18,1474.4720636215352
Colorado Rapids,1507.3131145904508,1998,1998-04-24,1498.7799570680272
FC Dallas,1510.806895857173,1998,1998-04-24,1498.2015030189996
Los Angeles Galaxy,1570.4838681878819,1998,1998-04-24,1559.6615667607753
New England Revolution,1500.61925067286,1998,1998-04-24,1486.0507815521794
New York Red Bulls,1490.7711885126746,1998,1998-04-24,1481.895421711909
Chicago Fire,1486.9300396778228,1998,1998-04-24,1495.4631972002464
Sporting Kansas City,1478.1723612657938,1998,1998-04-24,1490.7777541039673
Mutiny,1449.0699896024155,1998,1998-04-24,1459.892291029522
Miami,1461.547861508654,1998,1998-04-24,1476.1163306293347
Houston Dynamo,1480.4326621495463,1998,1998-04-24,1489.308428950312
DC United,1534.819610327042,1998,1998-04-25,1525.7865879022047
Columbus Crew,1529.0331576476851,1998,1998-04-25,1538.0661800725225
DC United,1545.3090557808155,1998,1998-04-28,1534.819610327042
Sporting Kansas City,1459.7740995589718,1998,1998-04-28,1478.1723612657938
Houston Dynamo,1469.943216695773,1998,1998-04-28,1480.4326621495463
Los Angeles Galaxy,1588.882129894704,1998,1998-04-28,1570.4838681878819
Mutiny,1436.378708152233,1998,1998-04-29,1449.0699896024155
Columbus Crew,1541.7244390978676,1998,1998-04-29,1529.0331576476851
Chicago Fire,1466.783988933238,1998,1998-05-01,1486.9300396778228
Miami,1471.689727791632,1998,1998-05-01,1461.547861508654
DC United,1565.4551065254002,1998,1998-05-01,1545.3090557808155
Colorado Rapids,1497.1712483074728,1998,1998-05-01,1507.3131145904508
Houston Dynamo,1448.398584955741,1998,1998-05-02,1469.943216695773
Mutiny,1422.8124661700913,1998,1998-05-02,1436.378708152233
New England Revolution,1522.163882412892,1998,1998-05-02,1500.61925067286
New York Red Bulls,1504.3374304948163,1998,1998-05-02,1490.7711885126746
Los Angeles Galaxy,1599.3430849114875,1998,1998-05-05,1588.882129894704
New York Red Bulls,1489.1828390368455,1998,1998-05-05,1504.3374304948163
Colorado Rapids,1486.7102932906892,1998,1998-05-05,1497.1712483074728
FC Dallas,1525.9614873151438,1998,1998-05-05,1510.806895857173
Colorado Rapids,1470.1704993554213,1998,1998-05-08,1486.7102932906892
DC United,1575.0332714151843,1998,1998-05-08,1565.4551065254002
Miami,1488.1411190816464,1998,1998-05-08,1471.689727791632
Houston Dynamo,1464.9383788910088,1998,1998-05-08,1448.398584955741
New York Red Bulls,1479.6046741470614,1998,1998-05-08,1489.1828390368455
Columbus Crew,1525.2730478078533,1998,1998-05-08,1541.7244390978676
New England Revolution,1527.9463277980126,1998,1998-05-09,1522.163882412892
Mutiny,1417.0300207849707,1998,1998-05-09,1422.8124661700913
DC United,1582.2362824239606,1998,1998-05-12,1575.0332714151843
Mutiny,1427.0701808364051,1998,1998-05-12,1417.0300207849707
New England Revolution,1520.7433167892364,1998,1998-05-12,1527.9463277980126
Sporting Kansas City,1449.7339395075373,1998,1998-05-12,1459.7740995589718
FC Dallas,1532.9144675496868,1998,1998-05-15,1525.9614873151438
Houston Dynamo,1479.023210566041,1998,1998-05-15,1464.9383788910088
Mutiny,1413.0086182138225,1998,1998-05-15,1427.0701808364051
New England Revolution,1494.5359574808024,1998,1998-05-15,1520.7433167892364
New York Red Bulls,1491.6955649387316,1998,1998-05-15,1479.6046741470614
Colorado Rapids,1463.2175191208783,1998,1998-05-15,1470.1704993554213
Miami,1474.0562874066143,1998,1998-05-15,1488.1411190816464
Chicago Fire,1480.8455515558207,1998,1998-05-15,1466.783988933238
Sporting Kansas City,1475.9412988159713,1998,1998-05-15,1449.7339395075373
DC United,1570.1453916322903,1998,1998-05-15,1582.2362824239606
Columbus Crew,1505.932152693521,1998,1998-05-16,1525.2730478078533
Los Angeles Galaxy,1618.68398002582,1998,1998-05-16,1599.3430849114875
Chicago Fire,1500.7981772185553,1998,1998-05-19,1480.8455515558207
FC Dallas,1515.8338875434108,1998,1998-05-19,1532.9144675496868
Los Angeles Galaxy,1598.7313543630853,1998,1998-05-19,1618.68398002582
Sporting Kansas City,1493.0218788222473,1998,1998-05-19,1475.9412988159713
New England Revolution,1472.0425488540186,1998,1998-05-21,1494.5359574808024
Columbus Crew,1528.4255613203047,1998,1998-05-21,1505.932152693521
Chicago Fire,1515.7618953207675,1998,1998-05-22,1500.7981772185553
DC United,1574.5949310602657,1998,1998-05-22,1570.1453916322903
Los Angeles Galaxy,1609.5958994850248,1998,1998-05-22,1598.7313543630853
New York Red Bulls,1503.8235913021706,1998,1998-05-22,1491.6955649387316
Sporting Kansas City,1477.2199716999044,1998,1998-05-22,1493.0218788222473
Colorado Rapids,1448.253801018666,1998,1998-05-22,1463.2175191208783
Mutiny,1408.559078785847,1998,1998-05-22,1413.0086182138225
FC Dallas,1504.9693424214713,1998,1998-05-22,1515.8338875434108
Miami,1461.9282610431753,1998,1998-05-22,1474.0562874066143
Houston Dynamo,1494.825117688384,1998,1998-05-22,1479.023210566041
Sporting Kansas City,1487.5456659381086,1998,1998-05-26,1477.2199716999044
Columbus Crew,1518.0998670821004,1998,1998-05-26,1528.4255613203047
Colorado Rapids,1464.1408242916555,1998,1998-05-27,1448.253801018666
Miami,1446.041237770186,1998,1998-05-27,1461.9282610431753
Columbus Crew,1531.9464848373873,1998,1998-05-29,1518.0998670821004
Los Angeles Galaxy,1591.5188955298484,1998,1998-05-29,1609.5958994850248
Mutiny,1398.8128026703694,1998,1998-05-29,1408.559078785847
Houston Dynamo,1480.978499933097,1998,1998-05-29,1494.825117688384
Chicago Fire,1533.838899275944,1998,1998-05-29,1515.7618953207675
DC United,1584.3412071757434,1998,1998-05-29,1574.5949310602657
Colorado Rapids,1473.5373630107924,1998,1998-05-30,1464.1408242916555
FC Dallas,1515.2655441431684,1998,1998-05-30,1504.9693424214713
New England Revolution,1457.7161695074592,1998,1998-05-30,1472.0425488540186
Sporting Kansas City,1478.1491272189717,1998,1998-05-30,1487.5456659381086
Miami,1435.7450360484888,1998,1998-05-30,1446.041237770186
New York Red Bulls,1518.14997064873,1998,1998-05-30,1503.8235913021706
Houston Dynamo,1458.6962627462833,1998,1998-06-02,1480.978499933097
New York Red Bulls,1499.442584327419,1998,1998-06-02,1518.14997064873
DC United,1606.6234443625572,1998,1998-06-02,1584.3412071757434
Mutiny,1417.5201889916805,1998,1998-06-02,1398.8128026703694
FC Dallas,1486.4230069657144,1998,1998-06-03,1515.2655441431684
Los Angeles Galaxy,1620.3614327073024,1998,1998-06-03,1591.5188955298484
Chicago Fire,1546.7063489731843,1998,1998-06-05,1533.838899275944
Colorado Rapids,1485.7952686910567,1998,1998-06-05,1473.5373630107924
Sporting Kansas City,1484.9653782237474,1998,1998-06-05,1478.1491272189717
Columbus Crew,1519.079035140147,1998,1998-06-05,1531.9464848373873
Houston Dynamo,1446.438357066019,1998,1998-06-05,1458.6962627462833
Mutiny,1410.7039379869047,1998,1998-06-05,1417.5201889916805
DC United,1587.8955855594684,1998,1998-06-06,1606.6234443625572
Los Angeles Galaxy,1628.4909638987463,1998,1998-06-06,1620.3614327073024
Miami,1422.4957368893852,1998,1998-06-06,1435.7450360484888
FC Dallas,1505.1508657688032,1998,1998-06-06,1486.4230069657144
New England Revolution,1449.5866383160153,1998,1998-06-06,1457.7161695074592
New York Red Bulls,1512.6918834865226,1998,1998-06-06,1499.442584327419
