season,date,home_team,home_final,away_final,away_team,penalties
1998,1998-03-14,Miami,0,2,DC United,0
1998,1998-03-20,DC United,3,2,Sporting Kansas City,0
1998,1998-03-20,FC Dallas,2,1,Colorado Rapids,1
1998,1998-03-20,Los Angeles Galaxy,4,3,Houston Dynamo,1
1998,1998-03-20,Miami,0,2,Chicago Fire,0
1998,1998-03-20,Mutiny,1,2,Columbus Crew,0
1998,1998-03-25,Mutiny,0,1,Miami,1
1998,1998-03-27,Houston Dynamo,2,3,Colorado Rapids,1
1998,1998-03-27,Los Angeles Galaxy,3,2,New York Red Bulls,0
1998,1998-03-28,DC United,2,1,New England Revolution,1
1998,1998-03-28,FC Dallas,2,1,Columbus Crew,0
1998,1998-04-03,Chicago Fire,2,0,Mutiny,0
1998,1998-04-03,Colorado Rapids,0,1,Los Angeles Galaxy,0
1998,1998-04-03,Columbus Crew,2,1,DC United,0
1998,1998-04-03,Miami,2,1,New England Revolution,0
1998,1998-04-03,Sporting Kansas City,2,0,New York Red Bulls,0
1998,1998-04-04,Houston Dynamo,2,3,FC Dallas,1
1998,1998-04-07,Sporting Kansas City,1,0,Chicago Fire,0
1998,1998-04-10,Columbus Crew,3,2,New England Revolution,0
1998,1998-04-10,DC United,4,3,Colorado Rapids,1
1998,1998-04-10,Houston Dynamo,1,0,Chicago Fire,0
1998,1998-04-10,Miami,2,1,Sporting Kansas City,1
1998,1998-04-10,Mutiny,3,1,FC Dallas,0
1998,1998-04-10,New York Red Bulls,2,3,Los Angeles Galaxy,0
1998,1998-04-16,Chicago Fire,0,1,New York Red Bulls,0
1998,1998-04-17,Columbus Crew,5,1,Miami,0
1998,1998-04-17,FC Dallas,1,2,Houston Dynamo,0
1998,1998-04-17,New England Revolution,2,1,DC United,1
1998,1998-04-17,Sporting Kansas City,1,2,Los Angeles Galaxy,0
1998,1998-04-18,Colorado Rapids,3,0,Mutiny,0
1998,1998-04-24,Colorado Rapids,5,4,Chicago Fire,1
1998,1998-04-24,FC Dallas,3,1,Sporting Kansas City,0
1998,1998-04-24,Los Angeles Galaxy,5,1,Mutiny,0
1998,1998-04-24,New England Revolution,3,0,Miami,0
1998,1998-04-24,New York Red Bulls,4,3,Houston Dynamo,0
1998,1998-04-25,DC United,2,1,Columbus Crew,1
1998,1998-04-28,DC United,3,1,Houston Dynamo,0
1998,1998-04-28,Sporting Kansas City,0,2,Los Angeles Galaxy,0
1998,1998-04-29,Mutiny,0,1,Columbus Crew,0
1998,1998-05-01,Chicago Fire,1,3,DC United,0
1998,1998-05-01,Miami,3,2,Colorado Rapids,0
1998,1998-05-02,Houston Dynamo,1,3,New England Revolution,0
1998,1998-05-02,Mutiny,0,1,New York Red Bulls,0
1998,1998-05-05,Los Angeles Galaxy,7,4,Colorado Rapids,0
1998,1998-05-05,New York Red Bulls,0,1,FC Dallas,0
1998,1998-05-08,Colorado Rapids,2,3,Houston Dynamo,0
1998,1998-05-08,DC United,2,0,New York Red Bulls,0
1998,1998-05-08,Miami,2,0,Columbus Crew,0
1998,1998-05-09,New England Revolution,4,3,Mutiny,0
1998,1998-05-12,DC United,3,2,New England Revolution,0
1998,1998-05-12,Mutiny,2,1,Sporting Kansas City,0
1998,1998-05-15,FC Dallas,2,1,Colorado Rapids,0
1998,1998-05-15,Houston Dynamo,2,0,Miami,0
1998,1998-05-15,Mutiny,1,2,Chicago Fire,0
1998,1998-05-15,New England Revolution,1,3,Sporting Kansas City,0
1998,1998-05-15,New York Red Bulls,4,3,DC United,0
1998,1998-05-16,Columbus Crew,2,4,Los Angeles Galaxy,0
1998,1998-05-19,Chicago Fire,3,1,Los Angeles Galaxy,0
1998,1998-05-19,FC Dallas,1,2,Sporting Kansas City,1
1998,1998-05-21,New England Revolution,0,2,Columbus Crew,0
1998,1998-05-22,Chicago Fire,5,0,Colorado Rapids,0
1998,1998-05-22,DC United,3,2,Mutiny,0
1998,1998-05-22,Los Angeles Galaxy,4,1,FC Dallas,0
1998,1998-05-22,New York Red Bulls,4,2,Miami,0
1998,1998-05-22,Sporting Kansas City,0,1,Houston Dynamo,0
1998,1998-05-26,Sporting Kansas City,2,1,Columbus Crew,1
1998,1998-05-27,Colorado Rapids,3,0,Miami,0
1998,1998-05-29,Columbus Crew,4,1,Houston Dynamo,0
1998,1998-05-29,Los Angeles Galaxy,1,2,Chicago Fire,1
1998,1998-05-29,Mutiny,1,2,DC United,1
1998,1998-05-30,Colorado Rapids,2,1,Sporting Kansas City,0
1998,1998-05-30,FC Dallas,2,0,Miami,0
1998,1998-05-30,New England Revolution,1,2,New York Red Bulls,1
1998,1998-06-02,Houston Dynamo,0,4,DC United,0
1998,1998-06-02,New York Red Bulls,1,2,Mutiny,0
1998,1998-06-03,FC Dallas,1,8,Los Angeles Galaxy,0
1998,1998-06-05,Chicago Fire,2,0,Columbus Crew,0
1998,1998-06-05,Colorado Rapids,2,0,Houston Dynamo,0
1998,1998-06-05,Sporting Kansas City,1,0,Mutiny,0
1998,1998-06-06,DC United,4,5,FC Dallas,1
1998,1998-06-06,Los Angeles Galaxy,5,1,New England Revolution,0
1998,1998-06-06,Miami,1,2,New York Red Bulls,0
1998,1998-06-10,Chicago Fire,5,2,Houston Dynamo,0
1998,1998-06-12,Columbus Crew,3,4,DC United,1
1998,1998-06-12,New York Red Bulls,3,1,Miami,0
1998,1998-06-13,New England Revolution,1,3,Chicago Fire,0
1998,1998-06-16,Chicago Fire,1,0,FC Dallas,0
1998,1998-06-17,Los Angeles Galaxy,2,1,Colorado Rapids,0
1998,1998-06-19,Columbus Crew,2,1,New York Red Bulls,0
1998,1998-06-20,FC Dallas,0,1,Mutiny,0
1998,1998-06-23,Chicago Fire,4,1,Sporting Kansas City,0
1998,1998-06-23,New York Red Bulls,5,3,New England Revolution,0
1998,1998-06-24,Colorado Rapids,3,1,DC United,0
1998,1998-06-26,Houston Dynamo,1,2,Los Angeles Galaxy,0
1998,1998-06-26,Miami,2,1,Mutiny,1
1998,1998-06-26,New England Revolution,3,4,FC Dallas,1
1998,1998-06-30,Chicago Fire,4,1,FC Dallas,0
1998,1998-06-30,Sporting Kansas City,1,0,New England Revolution,0
1998,1998-07-01,DC United,3,1,Miami,0
1998,1998-07-02,Houston Dynamo,2,1,Columbus Crew,1
1998,1998-07-03,Colorado Rapids,1,0,New York Red Bulls,0
1998,1998-07-03,FC Dallas,0,1,Chicago Fire,0
1998,1998-07-03,Los Angeles Galaxy,2,0,Sporting Kansas City,0
1998,1998-07-03,Mutiny,2,3,New England Revolution,0
1998,1998-07-08,Columbus Crew,3,0,Chicago Fire,0
1998,1998-07-10,Colorado Rapids,2,1,New England Revolution,0
1998,1998-07-10,DC United,3,0,Los Angeles Galaxy,0
1998,1998-07-10,New York Red Bulls,1,2,Mutiny,0
1998,1998-07-10,Sporting Kansas City,2,0,FC Dallas,0
1998,1998-07-14,Miami,3,2,Houston Dynamo,1
1998,1998-07-14,Mutiny,1,3,Los Angeles Galaxy,0
1998,1998-07-14,New England Revolution,0,1,DC United,0
1998,1998-07-17,DC United,4,1,Chicago Fire,0
1998,1998-07-17,FC Dallas,1,3,New England Revolution,0
1998,1998-07-17,Houston Dynamo,0,1,Mutiny,0
