team,season,elo,date
Miami,1998,1500,1998-03-01
DC United,1998,1500,1998-03-01
FC Dallas,1998,1500,1998-03-01
Los Angeles Galaxy,2005,1300,2005-03-01
Mutiny,1998,1500,1998-03-01
Houston Dynamo,2006,1300,2006-03-01
Chicago Fire,1998,1500,1998-03-01
Colorado Rapids,1998,1500,1998-03-01
Columbus Crew,1998,1500,1998-03-01
Sporting Kansas City,1998,1500,1998-03-01
New York Red Bulls,1998,1500,1998-03-01
New England Revolution,1998,1500,1998-03-01
Chivas USA,1998,1500,1998-03-01
Real Salt Lake,2005,1300,2005-03-01
Toronto FC,2007,1300,2007-03-01
San Jose Earthquakes,1998,1500,1998-03-01
Seattle Sounders,2009,1300,2009-03-01
Philadelphia Union,2010,1300,2010-03-01
Vancouver Whitecaps,2011,1300,2011-03-01
Portland Timbers,2011,1300,2011-03-01
Montreal Impact,2012,1300,2012-03-01
Orlando City,2015,1300,2015-03-01
New York City,2015,1300,2015-03-01
Atlanta United,2017,1300,2017-03-01
Minnesota,2017,1300,2017-03-01
Los Angeles FC,2018,1300,2018-03-01
