team,win_prob,win,season,date,upset_win,upset_loss
Miami,0.6400649998028851,0,1998,1998-03-14,NA,1
DC United,0.3599350001971149,1,1998,1998-03-14,1,NA
DC United,0.6700229026298428,1,1998,1998-03-20,NA,0
FC Dallas,0.6400649998028851,1,1998,1998-03-20,NA,0
Los Angeles Galaxy,0.6400649998028851,1,1998,1998-03-20,NA,0
Miami,0.6089745671864031,0,1998,1998-03-20,NA,1
Mutiny,0.6400649998028851,0,1998,1998-03-20,NA,1
Sporting Kansas City,0.32997709737015724,0,1998,1998-03-20,0,NA
Colorado Rapids,0.3599350001971149,0,1998,1998-03-20,0,NA
Houston Dynamo,0.3599350001971149,0,1998,1998-03-20,0,NA
Chicago Fire,0.3910254328135969,1,1998,1998-03-20,1,NA
Columbus Crew,0.3599350001971149,1,1998,1998-03-20,1,NA
Mutiny,0.6783195472508068,0,1998,1998-03-25,NA,1
Miami,0.3216804527491932,1,1998,1998-03-25,1,NA
Houston Dynamo,0.6400649998028851,0,1998,1998-03-27,NA,1
Los Angeles Galaxy,0.6514395948808681,1,1998,1998-03-27,NA,0
Colorado Rapids,0.3599350001971149,1,1998,1998-03-27,1,NA
New York Red Bulls,0.3485604051191319,0,1998,1998-03-27,0,NA
DC United,0.6800228177660439,1,1998,1998-03-28,NA,0
FC Dallas,0.6311014340300322,1,1998,1998-03-28,NA,0
New England Revolution,0.3199771822339561,0,1998,1998-03-28,0,NA
Columbus Crew,0.36889856596996784,0,1998,1998-03-28,0,NA
Chicago Fire,0.7076477949324543,1,1998,1998-04-03,NA,0
Colorado Rapids,0.626320889127594,0,1998,1998-04-03,NA,1
Columbus Crew,0.596444561918523,1,1998,1998-04-03,NA,0
Miami,0.6117618834016878,1,1998,1998-04-03,NA,0
Sporting Kansas City,0.640656264208156,1,1998,1998-04-03,NA,0
Mutiny,0.29235220506754567,0,1998,1998-04-03,0,NA
Los Angeles Galaxy,0.373679110872406,1,1998,1998-04-03,1,NA
DC United,0.403555438081477,0,1998,1998-04-03,0,NA
New England Revolution,0.3882381165983122,0,1998,1998-04-03,0,NA
New York Red Bulls,0.359343735791844,0,1998,1998-04-03,0,NA
Houston Dynamo,0.5834127745489314,0,1998,1998-04-04,NA,1
FC Dallas,0.41658722545106863,1,1998,1998-04-04,1,NA
Sporting Kansas City,0.6029427245423357,1,1998,1998-04-07,NA,0
Chicago Fire,0.39705727545766434,0,1998,1998-04-07,0,NA
Columbus Crew,0.6828079275603819,1,1998,1998-04-10,NA,0
DC United,0.6878652426890677,1,1998,1998-04-10,NA,0
Houston Dynamo,0.5560042285601235,1,1998,1998-04-10,NA,0
Miami,0.5939743118084851,1,1998,1998-04-10,NA,0
Mutiny,0.5378341074095684,1,1998,1998-04-10,NA,0
New York Red Bulls,0.5667519813366784,0,1998,1998-04-10,NA,1
New England Revolution,0.3171920724396181,0,1998,1998-04-10,0,NA
Colorado Rapids,0.3121347573109323,0,1998,1998-04-10,0,NA
Chicago Fire,0.44399577143987645,0,1998,1998-04-10,0,NA
Sporting Kansas City,0.40602568819151486,0,1998,1998-04-10,0,NA
FC Dallas,0.4621658925904316,0,1998,1998-04-10,0,NA
Los Angeles Galaxy,0.43324801866332163,1,1998,1998-04-10,1,NA
Chicago Fire,0.6999705614731115,0,1998,1998-04-16,NA,1
New York Red Bulls,0.30002943852688846,1,1998,1998-04-16,1,NA
Columbus Crew,0.6831056575994211,1,1998,1998-04-17,NA,0
FC Dallas,0.6939348760387181,0,1998,1998-04-17,NA,1
New England Revolution,0.5558100640539673,1,1998,1998-04-17,NA,0
Sporting Kansas City,0.5843303392517853,0,1998,1998-04-17,NA,1
Miami,0.3168943424005789,0,1998,1998-04-17,0,NA
Houston Dynamo,0.30606512396128194,1,1998,1998-04-17,1,NA
DC United,0.44418993594603273,0,1998,1998-04-17,0,NA
Los Angeles Galaxy,0.41566966074821465,1,1998,1998-04-17,1,NA
Colorado Rapids,0.6528625573330213,1,1998,1998-04-18,NA,0
Mutiny,0.34713744266697866,0,1998,1998-04-18,0,NA
Colorado Rapids,0.6444517698990164,1,1998,1998-04-24,NA,0
FC Dallas,0.649850198939624,1,1998,1998-04-24,NA,0
Los Angeles Galaxy,0.7595044127309623,1,1998,1998-04-24,NA,0
New England Revolution,0.6531316876028397,1,1998,1998-04-24,NA,0
New York Red Bulls,0.6301763833014364,1,1998,1998-04-24,NA,0
Chicago Fire,0.3555482301009836,0,1998,1998-04-24,0,NA
Sporting Kansas City,0.35014980106037596,0,1998,1998-04-24,0,NA
Mutiny,0.24049558726903775,0,1998,1998-04-24,0,NA
Miami,0.3468683123971603,0,1998,1998-04-24,0,NA
Houston Dynamo,0.36982361669856356,0,1998,1998-04-24,0,NA
DC United,0.6236240656317792,1,1998,1998-04-25,NA,0
Columbus Crew,0.3763759343682208,0,1998,1998-04-25,0,NA
DC United,0.7086265151729613,1,1998,1998-04-28,NA,0
Sporting Kansas City,0.5110628251895003,0,1998,1998-04-28,NA,1
Houston Dynamo,0.29137348482703873,0,1998,1998-04-28,0,NA
Los Angeles Galaxy,0.4889371748104997,1,1998,1998-04-28,1,NA
Mutiny,0.528803393757603,0,1998,1998-04-29,NA,1
Columbus Crew,0.471196606242397,1,1998,1998-04-29,1,NA
Chicago Fire,0.5596125206829067,0,1998,1998-05-01,NA,1
Miami,0.577422238209244,1,1998,1998-05-01,NA,0
DC United,0.4403874793170933,1,1998,1998-05-01,1,NA
Colorado Rapids,0.422577761790756,0,1998,1998-05-01,0,NA
Houston Dynamo,0.5984619927786672,0,1998,1998-05-02,NA,1
Mutiny,0.5652600825892404,0,1998,1998-05-02,NA,1
New England Revolution,0.4015380072213328,1,1998,1998-05-02,1,NA
New York Red Bulls,0.43473991741075957,1,1998,1998-05-02,1,NA
Los Angeles Galaxy,0.7509296424575331,1,1998,1998-05-05,NA,0
New York Red Bulls,0.6314413107487843,0,1998,1998-05-05,NA,1
Colorado Rapids,0.24907035754246687,0,1998,1998-05-05,0,NA
FC Dallas,0.3685586892512157,1,1998,1998-05-05,1,NA
Colorado Rapids,0.6891580806361647,0,1998,1998-05-08,NA,1
DC United,0.7339398641726619,1,1998,1998-05-08,NA,0
Miami,0.543016908610712,1,1998,1998-05-08,NA,0
Houston Dynamo,0.3108419193638353,1,1998,1998-05-08,1,NA
New York Red Bulls,0.2660601358273381,0,1998,1998-05-08,0,NA
Columbus Crew,0.45698309138928805,0,1998,1998-05-08,0,NA
New England Revolution,0.7590647756199769,1,1998,1998-05-09,NA,0
Mutiny,0.24093522438002313,0,1998,1998-05-09,0,NA
DC United,0.6998745413009931,1,1998,1998-05-12,NA,0
Mutiny,0.5816599978568943,1,1998,1998-05-12,NA,0
New England Revolution,0.30012545869900686,0,1998,1998-05-12,0,NA
Sporting Kansas City,0.41834000214310574,0,1998,1998-05-12,0,NA
FC Dallas,0.7102924902273708,1,1998,1998-05-15,NA,0
Houston Dynamo,0.6087546756935553,1,1998,1998-05-15,NA,0
Mutiny,0.5858984426076099,0,1998,1998-05-15,NA,1
New England Revolution,0.7279822030120574,0,1998,1998-05-15,NA,1
New York Red Bulls,0.49621288368040106,1,1998,1998-05-15,1,NA
Colorado Rapids,0.28970750977262916,0,1998,1998-05-15,0,NA
Miami,0.39124532430644465,0,1998,1998-05-15,0,NA
Chicago Fire,0.4141015573923901,1,1998,1998-05-15,1,NA
Sporting Kansas City,0.2720177969879426,1,1998,1998-05-15,1,NA
DC United,0.5037871163195989,0,1998,1998-05-15,NA,1
Columbus Crew,0.5372470865092348,0,1998,1998-05-16,NA,1
Los Angeles Galaxy,0.4627529134907652,1,1998,1998-05-16,1,NA
Chicago Fire,0.44576039825737446,1,1998,1998-05-19,1,NA
FC Dallas,0.7116908335948297,0,1998,1998-05-19,NA,1
Los Angeles Galaxy,0.5542396017426255,0,1998,1998-05-19,NA,1
Sporting Kansas City,0.28830916640517035,1,1998,1998-05-19,1,NA
New England Revolution,0.6248169062995488,0,1998,1998-05-21,NA,1
Columbus Crew,0.3751830937004512,1,1998,1998-05-21,1,NA
Chicago Fire,0.6882558728705814,1,1998,1998-05-22,NA,0
DC United,0.8146025238343618,1,1998,1998-05-22,NA,0
Los Angeles Galaxy,0.7413203542395358,1,1998,1998-05-22,NA,0
New York Red Bulls,0.663110378793363,1,1998,1998-05-22,NA,0
Sporting Kansas City,0.65841279676429,0,1998,1998-05-22,NA,1
Colorado Rapids,0.31174412712941857,0,1998,1998-05-22,0,NA
Mutiny,0.18539747616563818,0,1998,1998-05-22,0,NA
FC Dallas,0.2586796457604642,0,1998,1998-05-22,0,NA
Miami,0.336889621206637,0,1998,1998-05-22,0,NA
Houston Dynamo,0.34158720323571,1,1998,1998-05-22,1,NA
Sporting Kansas City,0.5697627400748213,1,1998,1998-05-26,NA,0
Columbus Crew,0.4302372599251787,0,1998,1998-05-26,0,NA
Colorado Rapids,0.6217375411193002,1,1998,1998-05-27,NA,0
Miami,0.37826245888069976,0,1998,1998-05-27,0,NA
Columbus Crew,0.6703186248741234,1,1998,1998-05-29,NA,0
Los Angeles Galaxy,0.7532084981323567,0,1998,1998-05-29,NA,1
Mutiny,0.40609483814490716,0,1998,1998-05-29,0,NA
Houston Dynamo,0.3296813751258766,0,1998,1998-05-29,0,NA
Chicago Fire,0.24679150186764331,1,1998,1998-05-29,1,NA
DC United,0.5939051618550928,1,1998,1998-05-29,NA,0
Colorado Rapids,0.6084775533692945,1,1998,1998-05-30,NA,0
FC Dallas,0.7139943966195235,1,1998,1998-05-30,NA,0
New England Revolution,0.596932472773309,0,1998,1998-05-30,NA,1
Sporting Kansas City,0.39152244663070546,0,1998,1998-05-30,0,NA
Miami,0.28600560338047654,0,1998,1998-05-30,0,NA
New York Red Bulls,0.40306752722669104,1,1998,1998-05-30,1,NA
Houston Dynamo,0.49516082637364,0,1998,1998-06-02,0,NA
New York Red Bulls,0.7794744300546292,0,1998,1998-06-02,NA,1
DC United,0.50483917362636,1,1998,1998-06-02,NA,0
Mutiny,0.22052556994537076,1,1998,1998-06-02,1,NA
FC Dallas,0.5341210588417425,0,1998,1998-06-03,NA,1
Los Angeles Galaxy,0.46587894115825745,1,1998,1998-06-03,1,NA
Chicago Fire,0.642570841743324,1,1998,1998-06-05,NA,0
Colorado Rapids,0.659502619992659,1,1998,1998-06-05,NA,0
Sporting Kansas City,0.7159895414676773,1,1998,1998-06-05,NA,0
Columbus Crew,0.357429158256676,0,1998,1998-06-05,0,NA
Houston Dynamo,0.340497380007341,0,1998,1998-06-05,0,NA
Mutiny,0.28401045853232265,0,1998,1998-06-05,0,NA
DC United,0.7803274501286975,0,1998,1998-06-06,NA,1
Los Angeles Galaxy,0.819343751301248,1,1998,1998-06-06,NA,0
Miami,0.5520541316293212,0,1998,1998-06-06,NA,1
FC Dallas,0.21967254987130247,1,1998,1998-06-06,1,NA
New England Revolution,0.18065624869875196,0,1998,1998-06-06,0,NA
New York Red Bulls,0.44794586837067885,1,1998,1998-06-06,1,NA
Chicago Fire,0.7600284025400237,1,1998,1998-06-10,NA,0
Houston Dynamo,0.23997159745997632,0,1998,1998-06-10,0,NA
Columbus Crew,0.5447564752463206,0,1998,1998-06-12,NA,1
New York Red Bulls,0.7492952281306203,1,1998,1998-06-12,NA,0
DC United,0.45524352475367935,1,1998,1998-06-12,1,NA
Miami,0.2507047718693797,0,1998,1998-06-12,0,NA
New England Revolution,0.48964198232035433,0,1998,1998-06-13,0,NA
