k_value,home_bonus,carry_value,auc
10,0,0.1,0.5731887794374746
12,0,0.1,0.579034096540787
14,0,0.1,0.5832711210650741
16,0,0.1,0.5863922789302864
18,0,0.1,0.5885473013583363
20,0,0.1,0.5903680646501456
22,0,0.1,0.5916112555701069
24,0,0.1,0.5924838089935742
26,0,0.1,0.593147318651238
28,0,0.1,0.5935371997730834
30,0,0.1,0.5937657507755445
32,0,0.1,0.5939110006052516
34,0,0.1,0.5939334075662771
36,0,0.1,0.5938996653190857
38,0,0.1,0.5937910574609381
40,0,0.1,0.593553807285373
42,0,0.1,0.5932553992867733
44,0,0.1,0.5929548823977241
46,0,0.1,0.5926485660599389
48,0,0.1,0.5922890002383047
50,0,0.1,0.5919302252505889
10,10,0.1,0.573307140913951
12,10,0.1,0.5791474494024459
14,10,0.1,0.5834153164495564
16,10,0.1,0.5865522909931398
18,10,0.1,0.588727875103072
20,10,0.1,0.5905386211652464
22,10,0.1,0.5917884023678622
24,10,0.1,0.592650147727776
26,10,0.1,0.5933595257527158
28,10,0.1,0.5937668052207692
30,10,0.1,0.5939890295518818
32,10,0.1,0.594154577452165
34,10,0.1,0.5941677580174742
36,10,0.1,0.5941466691129796
38,10,0.1,0.5940441243148742
40,10,0.1,0.5938696136301808
42,10,0.1,0.5935593431228028
44,10,0.1,0.5932343103822786
46,10,0.1,0.592895833465139
48,10,0.1,0.5925634196080416
50,10,0.1,0.5922080715673063
10,20,0.1,0.5734007229276461
12,20,0.1,0.5792159883420536
14,20,0.1,0.5834825373326332
16,20,0.1,0.5866537813460204
18,20,0.1,0.5888823513284955
20,20,0.1,0.5907276304717799
22,20,0.1,0.5919855836248874
24,20,0.1,0.5928378389777786
26,20,0.1,0.593495021964094
28,20,0.1,0.593989293163188
30,20,0.1,0.5942323427874893
32,20,0.1,0.5944079079174074
34,20,0.1,0.5944176615357362
36,20,0.1,0.5943630939953563
38,20,0.1,0.5942861194939506
40,20,0.1,0.5941390243851002
42,20,0.1,0.5938414072204191
44,20,0.1,0.5934734058369869
46,20,0.1,0.5932169120360704
48,20,0.1,0.5928897704050967
50,20,0.1,0.5925215054103584
